id,created_at,favorites,retweets,retweeted,source,text
857887079086399489,2017-04-28 09:19:53,0,1,False,Twitter for Android,"RT @Orgetorix: Syria to Buy Latest Russian Anti-Missile System, Says Assad — Naharnet https://t.co/jcckD3TZBx via @Naharnet"
857887002087362561,2017-04-28 09:19:34,0,1,False,Twitter for Android,RT @Orgetorix: Egyptian vegetables banned from UAE https://t.co/PtoqEPTi4M via @DailyNewsEgypt
857886896449605632,2017-04-28 09:19:09,0,1,False,Twitter for Android,RT @Orgetorix: First Lady of Jazz: Ella Fitzgerald’s 100th anniversary of birth https://t.co/SPvI1a3A6R via @DailyNewsEgypt
857886819572215808,2017-04-28 09:18:51,0,1,False,Twitter for Android,RT @Orgetorix: Lebanese man nabbed in northern Israel https://t.co/o34ueQrxWr via @haaretzcom
857886801540861953,2017-04-28 09:18:46,0,1,False,Twitter for Android,RT @Orgetorix: Israeli cabinet minister to U.S. lawmakers: U.S. must recognize Israeli sovereignty on Golan Heights https://t.co/OcKExLhY4y…
857886642618736640,2017-04-28 09:18:09,0,1,False,Twitter for Android,RT @Orgetorix: Should Israel help Abbas oust Hamas? https://t.co/bsbVc23oZB via @Jerusalem_Post
857886615666130944,2017-04-28 09:18:02,0,1,False,Twitter for Android,"RT @Orgetorix: For Abbas, meeting with Netanyahu is the easy part https://t.co/VOXycTLOlv via @Jerusalem_Post"
857886490554236928,2017-04-28 09:17:32,0,1,False,Twitter for Android,RT @Orgetorix: The attack in Syria: Israel's policy of ambiguity is nearing an end https://t.co/JtrYvadfwh via @haaretzcom
857886421297836032,2017-04-28 09:17:16,0,1,False,Twitter for Android,RT @Orgetorix: Damascus blast 'consistent with Israeli policy' https://t.co/fxq3CGQ9sY via @rtenews
857886401412694017,2017-04-28 09:17:11,0,1,False,Twitter for Android,RT @Orgetorix: 19th century Russian soldier found inside unearthed coffin in Turkey’s Ardahan was captain: Museum director https://t.co/mIO…
857886376368496640,2017-04-28 09:17:05,0,1,False,Twitter for Android,RT @Orgetorix: US sees Turkey as crucial energy hub: US official - ENERGY https://t.co/94ek5tTYEp via @HDNER
857886333389479936,2017-04-28 09:16:55,0,1,False,Twitter for Android,RT @Orgetorix: Georgian ministry talks purchase of Iranian gas (exclusive) https://t.co/5NkEv41WP3 via @trendnewsagency
857886271376678912,2017-04-28 09:16:40,0,1,False,Twitter for Android,RT @Orgetorix: Envoy: Italy-Azerbaijan ties based on mutual understanding (Exclusive) https://t.co/tZY2Qkvxca via @trendnewsagency
857886212845174784,2017-04-28 09:16:26,0,1,False,Twitter for Android,RT @Orgetorix: Karabakh conflict holds risk for South Caucasus: Italy envoy (Exclusive) https://t.co/LtP5Cxl6Ix via @trendnewsagency
857886081114664960,2017-04-28 09:15:55,0,1,False,Twitter for Android,RT @Orgetorix: Benito Mussolini Is Executed https://t.co/ykX9doOyBa via @ForeignAffairs
857886037032538112,2017-04-28 09:15:44,0,1,False,Twitter for Android,RT @Orgetorix: Meet the 'brave' Syrian women who came to the US to change their country's fate - ABC News - https://t.co/vogP2tOnCZ via @ABC
857885969365831680,2017-04-28 09:15:28,0,1,False,Twitter for Android,"RT @Orgetorix: Trump’s tax cut plan will incite ‘tax war’, says Chinese paper https://t.co/s2L3rfSYGD via @SCMP_news"
857885931868704768,2017-04-28 09:15:19,0,1,False,Twitter for Android,RT @Orgetorix: U.S. Jews have no place in Israel's Independence Day ceremony https://t.co/4BMUJIbDYb via @haaretzcom
857885635436302336,2017-04-28 09:14:08,0,1,False,Twitter for Android,RT @Orgetorix: We need John Bright's democratic message today https://t.co/YKDFUgG7GB
